order_id,order_date,store_id,product_id,product_category,quantity_sold,unit_price
61,01-10-2023,,1063,Clothing,7.0,-50.0
46,2023-10-21,,1005,Grocery,,-50.0
38,invalid_date,3.0,1049,Grocery,1.0,
1,2023-10-27,1.0,1024,Clothng,-1.0,110.46
3,2023-06-18,5.0,1014,Grocery,3.0,-50.0
19,2023-12-27,5.0,1050,Clothing,,20.95
26,2023-09-18,4.0,1016,Electronics,,221.72
52,14-02-2023,4.0,1008,Electronics,6.0,94.42
19,2023-04-14,1.0,1086,Clothing,10.0,170.52
68,06-04-2023,3.0,1026,Clothng,,-50.0
3,invalid_date,2.0,1033,Electronics,9.0,-50.0
66,2023-10-03,3.0,1017,Clothing,8.0,469.24
44,28-04-2023,4.0,1095,electronics,,127.41
60,2023-09-30,4.0,1004,,,262.49
21,23-09-2023,,1054,Electronics,8.0,
59,2023-04-10,5.0,1001,Electronics,2.0,
50,31-08-2023,2.0,1026,electronics,,
43,2023-09-20,,1049,Electronics,4.0,
15,2023-04-10,2.0,1092,electronics,,-50.0
5,26-08-2023,1.0,1098,Clothing,10.0,381.06
51,2023-02-02,5.0,1095,,-4.0,
13,07-03-2023,4.0,1038,,,91.49
8,2023-12-01,2.0,1029,Electronics,,484.66
35,2023-09-29,5.0,1083,Electronics,,-50.0
60,21-05-2023,5.0,1050,Clothing,,313.63
76,2023-02-20,5.0,1006,Clothng,-1.0,200.67
41,2023-10-31,3.0,1073,,2.0,436.83
21,2023-01-07,3.0,1005,Grocery,,-50.0
48,2023-03-03,,1016,Grocery,6.0,-50.0
15,18-04-2023,1.0,1058,Grocery,,370.56
11,2023-01-24,4.0,1059,Clothng,,140.25
43,2023-09-20,,1049,Electronics,4.0,
23,2023-09-30,1.0,1089,Electronics,1.0,
11,2023-10-07,2.0,1084,Grocery,,-50.0
24,2023-08-31,4.0,1021,Clothng,8.0,45.17
2,29-09-2023,2.0,1032,,,
28,2023-10-05,2.0,1046,,,66.59
60,06-07-2023,1.0,1042,Clothng,7.0,-50.0
38,2023-11-21,,1075,Clothing,,
77,2023-10-19,5.0,1054,Grocery,,
20,2023-04-12,1.0,1080,electronics,,295.18
46,2023-01-30,3.0,1096,Grocery,,-50.0
10,27-07-2023,2.0,1053,Electronics,-2.0,40.64
18,18-06-2023,1.0,1062,Clothng,,
53,invalid_date,2.0,1040,Clothing,10.0,-50.0
52,2023-11-27,5.0,1011,Grocery,,
68,2023-11-21,1.0,1090,Grocery,,
39,08-11-2023,3.0,1007,,,466.62
24,2023-09-06,2.0,1079,electronics,,
22,2023-04-02,2.0,1008,Clothng,-4.0,
4,12-06-2023,,1097,electronics,,
52,25-11-2023,,1009,Grocery,3.0,259.9
3,invalid_date,2.0,1033,Electronics,9.0,-50.0
44,2023-07-20,,1017,,1.0,405.19
66,24-08-2023,5.0,1049,electronics,0.0,279.16
8,2023-10-04,1.0,1042,,3.0,420.63
71,2023-06-15,3.0,1063,Clothing,-3.0,-50.0
19,2023-12-08,4.0,1035,Electronics,8.0,-50.0
54,2023-09-04,4.0,1017,,5.0,
23,2023-02-25,3.0,1098,Clothng,-4.0,-50.0
2,2023-04-16,4.0,1095,Grocery,,
59,2023-10-31,1.0,1075,Clothing,8.0,-50.0
37,2024-01-01,1.0,1055,Grocery,0.0,357.4
25,2023-10-31,1.0,1003,,-3.0,-50.0
2,2023-09-07,5.0,1087,Electronics,,369.97
53,2023-07-29,5.0,1049,Electronics,3.0,
4,2023-07-12,1.0,1047,Clothng,10.0,
23,2023-08-24,,1038,,,
66,2023-11-01,3.0,1074,,1.0,-50.0
10,2023-09-10,5.0,1000,Grocery,7.0,
63,20-02-2023,4.0,1070,electronics,,439.62
26,2023-09-18,4.0,1016,Electronics,,221.72
10,2023-07-04,4.0,1035,electronics,-3.0,
6,2023-08-16,5.0,1049,electronics,,
79,2023-10-08,5.0,1070,Grocery,0.0,-50.0
52,2023-07-23,3.0,1079,Clothng,,434.86
50,16-09-2023,5.0,1082,Clothng,,
14,invalid_date,4.0,1000,Clothing,-1.0,
72,27-07-2023,,1015,Grocery,,
65,2023-11-23,3.0,1100,Clothng,,
