order_id,order_date,store_id,product_id,product_category,quantity_sold,unit_price
52,2023-10-08,3.0,1073,Clothing,,-50.0
57,2023-02-11,4.0,1082,Clothng,3.0,
111,19-06-2023,2.0,1071,,10.0,
20,invalid_date,4.0,1104,Grocery,,-50.0
85,2023-03-14,3.0,1100,Clothing,,
32,2023-10-24,5.0,1020,electronics,,
58,2023-07-05,1.0,1115,Clothng,2.0,
91,2023-08-07,1.0,1019,,-1.0,
92,2023-02-13,2.0,1010,Clothing,,
71,21-05-2023,3.0,1136,Electronics,0.0,
12,2023-10-30,1.0,1023,Clothing,2.0,
19,2023-12-02,1.0,1108,Clothing,,34.61
32,2023-08-12,5.0,1020,electronics,,118.57
67,2023-06-04,1.0,1015,electronics,,-50.0
105,invalid_date,2.0,1065,Clothing,0.0,
112,2023-12-02,1.0,1120,Grocery,,-50.0
108,2023-10-28,,1125,Clothing,,
104,2023-06-01,3.0,1029,electronics,-3.0,379.53
118,2023-05-28,4.0,1077,,,-50.0
12,invalid_date,,1062,Grocery,,-50.0
15,invalid_date,5.0,1034,electronics,,
33,2023-01-23,1.0,1133,Clothng,,
71,2023-04-28,1.0,1018,,-4.0,43.03
57,2023-02-09,5.0,1093,electronics,,132.31
107,invalid_date,4.0,1062,electronics,,-50.0
39,15-01-2023,1.0,1075,Grocery,,
59,2023-01-02,,1067,Clothng,0.0,-50.0
105,09-10-2023,1.0,1080,Grocery,5.0,-50.0
81,2023-04-04,1.0,1117,Electronics,4.0,31.47
65,2023-10-30,1.0,1112,Electronics,9.0,-50.0
